row_id,source,headline,date_raw,published_date,date_parse_ok,date_defect,site_date_matches (fill by hand),notes (fill by hand)
economist_tunisia_economy::208,economist_tunisia_economy,Europe has reduced illegal immigration without goon tactics,2026-06-04,2026-06-04,True,abs,,
economist_tunisia_economy::259,economist_tunisia_economy,Inflation or recession? The tug of war in bond markets,2026-04-05,2026-04-05,True,abs,,
economist_tunisia_economy::97,economist_tunisia_economy,China’s exorbitant surplus calls for a much stronger yuan,2026-08-16,2026-08-16,True,abs,,
economist_tunisia_economy::148,economist_tunisia_economy,Can Andy Burnham fix Britain’s broken finances?,2026-07-23,2026-07-23,True,abs,,
economist_tunisia_economy::395,economist_tunisia_economy,Venice’s new admission fee cannot curb overtourism,2024-05-13,2024-05-13,True,abs,,
economist_tunisia_economy::486,economist_tunisia_economy,The IMF hands Mauricio Macri a vote of confidence,2018-06-08,2018-06-08,True,abs,,
economist_tunisia_economy::234,economist_tunisia_economy,"Indonesia, the biggest Muslim-majority country, is on a risky path",2026-05-14,2026-05-14,True,abs,,
economist_tunisia_economy::181,economist_tunisia_economy,"Turkey and Israel should trade energy, not insults",2026-07-02,2026-07-02,True,abs,,
economist_tunisia_economy::525,economist_tunisia_economy,Everybody wants to rule the world,2014-08-16,2014-08-16,True,abs,,
economist_tunisia_economy::367,economist_tunisia_economy,Donald Trump’s trade policy chaos,2025-03-06,2025-03-06,True,abs,,
guardian_tunisia::76,guardian_tunisia,Four Daughters review – fact and fiction mix in mother’s heartbreak over Islamic State,2023-05-20,2023-05-20,True,abs,,
guardian_tunisia::158,guardian_tunisia,Covid: entry rules for UK travellers to holiday hotspots across Europe,2021-07-02,2021-07-02,True,abs,,
guardian_tunisia::717,guardian_tunisia,Islamic countries brace for anti-west protests,2012-09-21,2012-09-21,True,abs,,
guardian_tunisia::602,guardian_tunisia,Mysterious lake in Tunisian desert turns from turquoise to green sludge,2014-08-01,2014-08-01,True,abs,,
guardian_tunisia::247,guardian_tunisia,'Tunisia is finished': smugglers profit as downturn drives European exodus,2018-02-12,2018-02-12,True,abs,,
guardian_tunisia::716,guardian_tunisia,Banknotes reflect glory of nation state,2012-09-27,2012-09-27,True,abs,,
guardian_tunisia::109,guardian_tunisia,Tunisian parliamentary election records just 8.8% turnout,2022-12-18,2022-12-18,True,abs,,
guardian_tunisia::270,guardian_tunisia,'We are an example to the Arab world': Tunisia's radical marriage proposals,2017-09-04,2017-09-04,True,abs,,
guardian_tunisia::333,guardian_tunisia,The strong north African heritage behind the attacks in France,2016-07-17,2016-07-17,True,abs,,
guardian_tunisia::566,guardian_tunisia,Tunisia terrorism attack: injured taken from Bardo museum - video,2015-03-19,2015-03-19,True,abs,,
ilboursa::1202,ilboursa,Les prix alimentaires mondiaux clôturent 2025 en baisse,2026-01-09,2026-01-09,True,abs,,
ilboursa::23356,ilboursa,Maroc : 27 accords économiques conclus avec le Sénégal,2015-05-28,2015-05-28,True,abs,,
ilboursa::15164,ilboursa,"OneTech Holding : Distribution d'un dividende de 0,330 dinar par action à partir du 21 juin",2019-05-27,2019-05-27,True,abs,,
ilboursa::11753,ilboursa,ENDA Tamweel émet un emprunt obligataire de 20 millions de dinars,2020-12-31,2020-12-31,True,abs,,
ilboursa::8672,ilboursa,La BIAT lève avec succès 200 millions de dinars sur le marché obligataire,2022-05-11,2022-05-11,True,abs,,
ilboursa::8345,ilboursa,Radhi MEDDEB rachète à AfricInvest ses parts détenues dans le capital de CFE Tunisie,2022-06-30,2022-06-30,True,abs,,
ilboursa::5545,ilboursa,L’écosystème tunisien des startups entre dans le Top 15 mondial,2023-10-19,2023-10-19,True,abs,,
ilboursa::13349,ilboursa,La société TPR affiche un chiffre d'affaires de 29 millions de dinars au premier trimestre,2020-04-16,2020-04-16,True,abs,,
ilboursa::15118,ilboursa,Mise en oeuvre de la loi fiscale américaine FATCA : Le CMF annonce les dispositions à prendre,2019-06-11,2019-06-11,True,abs,,
ilboursa::5525,ilboursa,L'UBCI réalise un PNB de près de 225 millions de dinars à fin septembre,2023-10-20,2023-10-20,True,abs,,
kapitalis::2574,kapitalis,La Tunisie lance une expérience visant à réduire l’évaporation de l’eau des barrages,2024-07-13,2024-07-13,True,abs,,
kapitalis::7496,kapitalis,Imed Hammami confirme : «Olfa Hamdi a été nommée par Ennahdha à la tête de Tunisair,2021-03-01,2021-03-01,True,abs,,
kapitalis::9210,kapitalis,"City Cars, concessionnaire en Tunisie de Kia Motors, a augmenté ses revenus de +40,3% en 2019",2020-03-02,2020-03-02,True,abs,,
kapitalis::5456,kapitalis,"Tunisie : Selon Souhail Boukhris, il n’y a plus de sucre dans les dépôts de l’Office du commerce",2022-09-08,2022-09-08,True,abs,,
kapitalis::736,kapitalis,Tunisie | Inégalité territoriale face aux aléas climatiques,2026-02-17,2026-02-17,True,abs,,
kapitalis::11770,kapitalis,La SNDP-Agil lance son 1er hackathon pour l’innovation,2019-02-26,2019-02-26,True,abs,,
kapitalis::856,kapitalis,Salon | Ifsa 2026 au service de l’agroalimentaire africain,2026-01-12,2026-01-12,True,abs,,
kapitalis::7273,kapitalis,"La Biat annonce un PNB en hausse de 3,2% au 1er trimestre 2021",2021-04-30,2021-04-30,True,abs,,
kapitalis::11499,kapitalis,Conférence sur les matériaux et l’énergie à Hammamet (23-26 avril 2019),2019-04-17,2019-04-17,True,abs,,
kapitalis::11605,kapitalis,La Tunisie accueille le Forum sur l’Economie Bleue en Afrique (ABEF 2019),2019-04-04,2019-04-04,True,abs,,
lapresse::217,lapresse,Express,2026-08-21,2026-08-21,True,abs,,
lapresse::3379,lapresse,BCT : de nouvelles règles pour simplifier les exportations tunisiennes,2025-10-28,2025-10-28,True,abs,,
lapresse::2654,lapresse,Question de la semaine : Le salarié est-il un entrepreneur en devenir ?,2026-01-04,2026-01-04,True,abs,,
lapresse::472,lapresse,L’Office National des Aliments pour Bétail ajuste les prix du maïs fourrager,2026-07-23,2026-07-23,True,abs,,
lapresse::6465,lapresse,Ils ont dit,2022-06-17,2022-06-17,True,abs,,
lapresse::5407,lapresse,Kasserine: les dernières chutes de neige sont bénéfiques pour les grandes cultures,2025-01-21,2025-01-21,True,abs,,
lapresse::2851,lapresse,Le Fonds africain de développement lève un montant historique de 11 milliards de dollars,2025-12-17,2025-12-17,True,abs,,
lapresse::4954,lapresse,"Les prix du pétrole reculent de 1,5 % sous l’effet des tensions commerciales",2025-03-11,2025-03-11,True,abs,,
lapresse::2254,lapresse,La BNA Bank et la FSEGT scellent un partenariat en faveur de l’employabilité des étudiants,2026-02-15,2026-02-15,True,abs,,
lapresse::6341,lapresse,Le programme «acte numérique»: Accompagner les petites et moyennes entreprises,2022-12-27,2022-12-27,True,abs,,
leconomistmaghrebin::16348,leconomistmaghrebin,Ambition Africa 2019 : 60 entreprises tunisiennes y participent,2019-10-29,2019-10-29,True,abs,,
leconomistmaghrebin::12311,leconomistmaghrebin,L’UGTT appelle le gouvernement à réviser à la hausse le SMIG,2022-04-28,2022-04-28,True,abs,,
leconomistmaghrebin::13229,leconomistmaghrebin,Dette extérieure : la Tunisie affiche le taux le plus élevé en Afrique du Nord,2021-11-03,2021-11-03,True,abs,,
leconomistmaghrebin::4421,leconomistmaghrebin,Thalassothérapie : Tunisie vs France… le match,2025-02-03,2025-02-03,True,abs,,
leconomistmaghrebin::1456,leconomistmaghrebin,30 ans d’excellence : BNA Capitaux se réinvente grâce à une identité visuelle,2026-02-05,2026-02-05,True,abs,,
leconomistmaghrebin::11024,leconomistmaghrebin,Les avoirs étrangers en bons du Trésor américain sont tombés au plus bas niveau depuis mai 2021,2022-11-18,2022-11-18,True,abs,,
leconomistmaghrebin::9401,leconomistmaghrebin,Alert: Incapacité des politiques monétaires en Tunisie,2023-07-22,2023-07-22,True,abs,,
leconomistmaghrebin::4258,leconomistmaghrebin,"Pertes de 7,9 milliards d’euros pour la BCE en 2024",2025-02-21,2025-02-21,True,abs,,
leconomistmaghrebin::6864,leconomistmaghrebin,Afrique – Ecosystème régional de cloud : des experts du COMESA en Tunisie,2024-05-08,2024-05-08,True,abs,,
leconomistmaghrebin::2564,leconomistmaghrebin,"Maïs mondial en baisse, soja fragilisé : marchés sous tension, blé en hausse",2025-09-12,2025-09-12,True,abs,,
nyt_economy::328,nyt_economy,Employers Hired Swiftly in January After a Dismal 2025,2026-02-11,2026-02-11,True,abs,,
nyt_economy::688,nyt_economy,"On Major Economic Decisions, Trump Blinks, and Then Blinks Again",2025-04-23,2025-04-23,True,abs,,
nyt_economy::413,nyt_economy,U.K. Budget Plan Calms Markets and Labour Faithful. Will It Appeal to Voters?,2025-11-26,2025-11-26,True,abs,,
nyt_economy::788,nyt_economy,Lawsuit Challenges Trump’s Legal Rationale for Tariffs on China,2025-04-04,2025-04-04,True,abs,,
nyt_economy::244,nyt_economy,High Oil and Gas Prices Could Outlast Trump’s War With Iran,2026-03-24,2026-03-24,True,abs,,
nyt_economy::759,nyt_economy,Bangladesh asks for a 3-month reprieve from the Trump tariffs.,2025-04-07,2025-04-07,True,abs,,
nyt_economy::96,nyt_economy,"As Chinese Tech Pulls Ahead, U.S. Fears It Will Become Dependent",2026-06-23,2026-06-23,True,abs,,
nyt_economy::605,nyt_economy,Senate Republicans Propose Key Tax Tweaks to House Bill,2025-06-17,2025-06-17,True,abs,,
nyt_economy::734,nyt_economy,From ‘Be Cool!’ to ‘Getting Yippy’: Inside Trump’s Reversal on Tariffs,2025-04-10,2025-04-10,True,abs,,
nyt_economy::101,nyt_economy,Fed holds rates steady at Warsh’s first meeting.,2026-06-17,2026-06-17,True,abs,,
tap::9,tap,Forum public 2026: La Directrice générale de l’OMC met en garde contre les répercussions de la fragmentation du commerce mondial sur l’économie mondial,2026-09-15,2026-09-15,True,abs,,
tap::246,tap,Plusieurs applications disponibles pour assurer le paiement à distance des frais d'inscription scolaire (La Poste Tunisienne),2026-08-20,2026-08-20,True,abs,,
tap::139,tap,Siliana - incendie du Djebel Boulmane: le ministre de l’Agriculture constate les dégâts alors que les efforts se poursuivent pour maîtriser l’incendie,2026-09-01,2026-09-01,True,abs,,
tap::207,tap,"Canicule : les agriculteurs, les éleveurs et les pêcheurs invités à faire preuve de vigilance",2026-08-25,2026-08-25,True,abs,,
tap::75,tap,Bourse : Le marché clôture la séance sur une note morose,2026-09-09,2026-09-09,True,abs,,
tap::271,tap,"Bourse de Tunis: Le Tunindex clôture mardi en grise mine(-1,61%)",2026-08-18,2026-08-18,True,abs,,
tap::262,tap,"Bourse de Tunis: Le Tunindex clôture mercredi dans le vert(+2,01%)",2026-08-19,2026-08-19,True,abs,,
tap::159,tap,FTDES: Appel à des mesures urgentes face aux perturbations de l’eau et de l’électricité et à la hausse du coût de la vie,2026-08-30,2026-08-30,True,abs,,
tap::42,tap,"Carthage Cement réalise un résultat bénéficiaire s'élevant à 25,1 MD, à fin juin 2026",2026-09-12,2026-09-12,True,abs,,
tap::168,tap,L'OTE appelle au renforcement de la transparence budgétaire,2026-08-29,2026-08-29,True,abs,,
